Type,FiscalYear,WorkPeriod,StatedDistrict,PresentDayDistrict,ProjectDistrict,ProjectName,PlacementLocation,RemovedFromNavPath,VolumePlaced,VolumePlacedUnit,MeasurementType,WeightPlaced,WeightPlacedUnit,MaterialPlaced,WorkType,OperationID,DistrictID,ProjectID,ApproxPageNumber,Appendix,Offset,FileVolume,FilePart
Placement,1908,,Baltimore District,Baltimore District,,"York, Mattaponi, and Pamunkey rivers, and Occoquan and Carters creeks, Virginia.-(a) York River.",jetty,,"1,507",cubic yards,,,,stone,,14619102803978836,14619102803940901,14619102803940101,252,No,874871,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Hawaii District,Honolulu District,,"Reclamation of QuarantineIsland, Honolulu, Hawaii.",wall,,"9,783.5",cubic yards,,,,material,,14619102803979092,14619102803941012,14619102803940462,854,No,2998739,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",,Occoquan Creek,872.4,cubic yards,,,,riprap stone,,14619102803979603,14619102803941493,14619102803939969,1226,Yes,4398293,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,ABOVE WHITE HOUSE,,,435.2,cubic yards,,,,,,14619102803979605,14619102803941493,14619102803940842,1226,Yes,4398722,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",dike,,139.8,cubic yards,,,,,,14619102803979605,14619102803941493,14619102803939969,1226,Yes,4398687,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"York, Mattaponi, and Pamunkey rivers, and Occoquan and Carters creeks, Virginia.-(a) York River.",dikes,,"6,475",cubic yards,,,,stone,,14619102803978832,14619102803940901,14619102803940101,251,No,870426,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",,Upper Mud bar,"10,732",cubic yards,,,,,,14619102803979598,14619102803941493,14619102803939969,1226,Yes,4397154,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Chattanooga District,Nashville District,,"NATI, OHIO, DISTRICT",,,"7,392.5",cubic yards,,,,earth fill,,14619102803978953,14619102803940946,14619102803940549,573,No,2003822,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,Harbor at Milford Haveni Virginia.,jetty,,491,cubic yards,,,,stone,,14619102803978852,14619102803940901,14619102803940105,258,No,894540,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Norfolk District,Norfolk District,,"Perquimnans River, North Carolina.",,river,,,,"36,000",tons,,,14619102803978854,14619102803940907,14619102803940122,277,No,956880,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",jetty,,491,cubic yards,,,,stone,,14619102803979622,14619102803941493,14619102803939969,1239,Yes,4450255,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Duluth District,Detroit District,,"Harbor at Duluth, Minn., and Superior, Wis.",breakwater,,,,,"10,492",tons,large riprap,,14619102803978981,14619102803940976,14619102803940324,632,No,2210129,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"Urbana Creek, Virginia.",jetty,,"1,095.4",cubic yards,,,,stone,,14619102803978848,14619102803940901,14619102803940104,257,No,889993,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",dike,,284,cubic yards,,,,,,14619102803979616,14619102803941493,14619102803939969,1238,Yes,4429050,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,MISSISSIPPI RIVER COMMISSION.,,,"HARBOR, MAINE",,,,,,"2,000",pounds,,,14619102803979102,14619102803941022,14619102803940630,922,Yes,3214632,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New London District,New England District,,"New Haven Harbor, Connecticut.",dike,,,,,420,tons,,,14619102803979230,14619102803941247,14619102803939915,1004,Yes,3519614,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",jetty,,"1,095.4",cubic yards,,,,stone,,14619102803979618,14619102803941493,14619102803939969,1237,Yes,4441564,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,MISSISSIPPI RIVER COMMISSION.,,,"HARBOR, MAINE",,,,,,"24,280",tons,stone,,14619102803979105,14619102803941022,14619102803940630,922,Yes,3214810,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New London District,New England District,,"New Haven Harbor, Connecticut.",dike,,,,,922,tons,,,14619102803979233,14619102803941247,14619102803939915,1004,Yes,3520120,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,MISSISSIPPI RIVER COMMISSION.,,,"Kennebec River, Maine.",breakwater,,,,,"24,000",tons,granite,,14619102803979102,14619102803941022,14619102803939890,922,Yes,3214559,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New London District,New England District,,"New Haven Harbor, Connecticut.",dike,,,,,"1,260",tons,large stone,,14619102803979230,14619102803941247,14619102803939915,1004,Yes,3519556,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"Nomini Creek, Virginia.",jetty,,"4,600",cubic yards,,,,stone,,14619102803978840,14619102803940901,14619102803940102,254,No,879519,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",jetty,,"1,256.3",cubic yards,,,,stone,,14619102803979610,14619102803941493,14619102803939969,1230,Yes,4415673,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"Nomini Creek, Virginia.",,,"3,000",cubic yards,,,,oyster shells,,14619102803978840,14619102803940901,14619102803940102,254,No,879550,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,MISSISSIPPI RIVER COMMISSION.,,,"Kennebec River, Maine.",jetties,,,,,"30,000",tons,stone,,14619102803979125,14619102803941022,14619102803939890,932,Yes,3249604,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Boston District,New England District,,"Essex River, Massachusetts.",breakwater,,,,,"1,969,553",tons,rubblestone,,14619102803978737,14619102803940887,14619102803939989,49,No,166497,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,,,,"Breakwater from Mount Desert to Porcupine Island, Bar Har- bor, Me.",,,,,,"211,534",tons,,,14619102803978731,1461910280,14619102803939973,27,No,93913,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,,,,"Rockland Harbor, Maine.",breakwater,,,,,"52,372",tons,heavy riprap,,14619102803978733,1461910280,14619102803939978,83,No,114202,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Boston District,New England District,,"IMPROVEMENT OF ESSEX RIVER, MASSACHUSETTS",,,,,,"136,205",tons,rubble stone,,14619102803979137,14619102803941127,14619102803940651,944,Yes,3285668,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New York District,New York District,,"Harlem River, New York",breakwater,,,,,"17,079",tons,stone,,14619102803979261,14619102803941300,14619102803939923,1046,Yes,3686265,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Closing crevasse in Pass a Loutre, Mississippi River.",,Mississippi River,,,,"22,162.5",tons,stone,,14619102803978893,14619102803940924,14619102803940208,421,No,1460123,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",,sewer canal,308.1,cubic yards,,,,riprap,,14619102803979556,14619102803941493,14619102803939969,1208,Yes,4324089,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Bogue Chitto, Chefuncte River, Bogue Falia,Tickfaw River and tributaries, Amite River, and Bayou Manchac, Louisiana.",walls,river,"2,643",cubic yards,,,,concrete,,14619102803978915,14619102803940924,14619102803940215,,No,1528774,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Bogue Chitto, Chefuncte River, Bogue Falia,Tickfaw River and tributaries, Amite River, and Bayou Manchac, Louisiana.",,,"24,203",cubic yards,,,,,,14619102803978917,14619102803940924,14619102803940215,140,No,1530580,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Bogue Chitto, Chefuncte River, Bogue Falia,Tickfaw River and tributaries, Amite River, and Bayou Manchac, Louisiana.",levee,river,"33,688",cubic yards,,,,,,14619102803978912,14619102803940924,14619102803940215,,No,1528634,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Bogue Chitto, Chefuncte River, Bogue Falia,Tickfaw River and tributaries, Amite River, and Bayou Manchac, Louisiana.",,river,"9,855",cubic yards,,,,concrete,,14619102803978908,14619102803940924,14619102803940215,,No,1528082,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Philadelphia District,Philadelphia District,,IMPROVEMENT OF SCHOONER LEDGE.,,basin,"192,546",cubic yards,,,,material,,14619102803979420,14619102803941464,14619102803939943,1129,Yes,4016717,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,Norfolk District,"Rappahannock River, Virginia.",,sewer canal,"556,396",cubic yards,,,,,,14619102803979547,14619102803941493,14619102803939969,1206,Yes,4317323,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Philadelphia District,Philadelphia District,,IMPROVEMENT OF SCHOONER LEDGE.,,basin,"79,460",cubic yards,,,,,,14619102803979422,14619102803941464,14619102803939943,1129,Yes,4017092,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Bogue Chitto, Chefuncte River, Bogue Falia,Tickfaw River and tributaries, Amite River, and Bayou Manchac, Louisiana.",,,"39,940",cubic yards,,,,,,14619102803978903,14619102803940924,14619102803940215,,No,1527626,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,New York District,New York District,,"Enlargement of Governors Island, New York Harbor.",embankment,light,"597,750",cubic yards,,,,,,14619102803978778,14619102803940891,14619102803940056,161,No,554998,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New Orleans District,New Orleans District,,"Bogue Chitto, Chefuncte River, Bogue Falia,Tickfaw River and tributaries, Amite River, and Bayou Manchac, Louisiana.",walls,river,"65,729",cubic yards,,,,,,14619102803978905,14619102803940924,14619102803940215,,No,1527991,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Los Angeles District,Los Angeles District,,"Wilmington Harbor, California.",breakwater,,,,,"137,310",tons,stone,,14619102803979060,14619102803940999,14619102803940413,784,No,2741084,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Newport District,New England District,New England District,"Taunton River, Massachusetts. Rhode Island.",jetty,,,,,"7,807",tons,,,14619102803979179,14619102803941185,14619102803939907,972,Yes,3403783,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Newport District,New England District,New England District,"Taunton River, Massachusetts. Rhode Island.",jetty,,,,,"11,808.5",tons,,,14619102803979179,14619102803941185,14619102803939907,972,Yes,3403741,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Los Angeles District,Los Angeles District,,"Deep-water harbor at San Pedro Bay, California.",,,,,,"86,610",tons,stone,,14619102803979053,14619102803940999,14619102803940412,,No,2730181,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Newport District,New England District,New England District,"Taunton River, Massachusetts. Rhode Island.",east jetty,,,,,"6,528",tons,stone,,14619102803979176,14619102803941185,14619102803939907,972,Yes,3403550,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",,approach,"87,416",cubic yards,,,,,,14619102803979560,14619102803941493,14619102803939969,1208,Yes,4324566,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,New York District,New York District,,"Harlem River, New York",walls,,"597,750",cubic yards,,,,,,14619102803979687,14619102803941300,14619102803939923,,Yes,3837892,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Newport District,New England District,New England District,"Taunton River, Massachusetts. Rhode Island.",jetty,,,,,"6,451",tons,,,14619102803979176,14619102803941185,14619102803939907,972,Yes,3403615,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",,sewer canal,"63,463",cubic yards,,,,,,14619102803979560,14619102803941493,14619102803939969,1208,Yes,4324661,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1909,,Savannah District,Savannah District,,"Savannah River above Augusta, Ga.",dam,channel,440,cubic yards,,,,rock,,17166468254745042,17166468254705458,17166468254704747,340,No,1252723,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,During Fiscal Year,Seattle District,Seattle District,,"Willapa River and Harbor, Washington.",,,,,,"67,467",tons,stone,,17166468254745300,17166468254705555,17166468254705012,874,No,3234618,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,During Fiscal Year,Norfolk District,Norfolk District,Mobile District,"Blackwater River, Virginia.",,,"3,350,003",cubic yards,,,,,,17166468254745814,17166468254706201,17166468254704579,1253,Yes,5059570,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Cincinnati District,Louisville District,,"OHIO, DISTRICT",,,"1,413.97",cubic yards,,,,new riprap,,17166468254745163,17166468254705508,17166468254705123,607,No,2248492,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,During Fiscal Year,Newport District,New England District,,COMMERCIAL STATISTICS,,,,,,"59,036.22",tons,stone,,17166468254745422,17166468254705728,17166468254705249,1020,Yes,3820814,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Cincinnati District,Louisville District,,"OHIO, DISTRICT",,,"3,175",cubic yards,,,,small stone,,17166468254745165,17166468254705508,17166468254705123,607,No,2248707,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Cincinnati District,Louisville District,,"OHIO, DISTRICT",,,"9,208.8",cubic yards,,,,excavation,,17166468254745156,17166468254705508,17166468254705123,607,No,2248003,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Portland District,Portland District,,"Snake River, Oregon, Washington, and Idaho.",dam,,,,,"1,485",tons,stone,,17166468254745284,17166468254705549,17166468254704999,846,No,3126259,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Portland District,Portland District,,"Breakwater from Mount Desert to Porcupine Island, Bar Har- bor, Me.",breakwater,,,,,"211,534",tons,,,17166468254744887,17166468254705426,17166468254704585,31,No,123094,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Nashville District,Nashville District,,Operating and care of locks and dams on Cumberland River.,,,,,,"3,658.2",tons,,,17166468254745148,17166468254705499,17166468254704866,591,No,2189839,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Los Angeles District,Los Angeles District,,"San Luis Obispo Harbor, California.-San Luis Obispo Harbor",breakwater,,,,,"146,515",tons,stone,,17166468254745276,17166468254705545,17166468254704461,820,No,3030599,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,,Boston District,New England District,,"Harbor of refuge, Sandy Bay, Cape Ann, Massachusetts.",breakwater,,,,,"2,052,935",tons,rubblestone,,17166468254744891,17166468254705431,17166468254704603,53,No,197987,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
Placement,1909,During Fiscal Year,New York District,New York District,,"Enlargement of Governors Island, New York Harbor, New York.",embankment,light,"638,339",cubic yards,,,,,,17166468254744943,17166468254705435,17166468254704664,164,No,604722,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1909_PartI.csv,I
